Company,TypeName,Ram,OpSys,Weight,CPU,GPU,TouchScreen,IPS,HDD,SSD,PPI
Apple,Ultrabook,8,Mac,1.37,Intel Core i5,Intel,0,1,,128,226.98300468106115
Apple,Ultrabook,8,Mac,1.34,Intel Core i5,Intel,0,0,,,127.67794013309688
HP,Notebook,8,Other,1.86,Intel Core i5,Intel,0,0,,256,141.21199808219862
Apple,Ultrabook,16,Mac,1.83,Intel Core i7,AMD,0,1,,512,220.53462386625827
Apple,Ultrabook,8,Mac,1.37,Intel Core i5,Intel,0,1,,256,226.98300468106115
Acer,Notebook,4,Windows,2.1,AMD,AMD,0,0,0,,100.45466986113651
Apple,Ultrabook,16,Mac,2.04,Intel Core i7,Intel,0,1,,,220.53462386625827
Apple,Ultrabook,8,Mac,1.34,Intel Core i5,Intel,0,0,,,127.67794013309688
Asus,Ultrabook,16,Windows,1.3,Intel Core i7,Nvidia,0,0,,512,157.3505121487356
Acer,Ultrabook,8,Windows,1.6,Intel Core i5,Intel,0,1,,256,157.3505121487356
HP,Notebook,4,Other,1.86,Intel Core i5,Intel,0,0,0,,100.45466986113651
HP,Notebook,4,Other,1.86,Intel Core i3,Intel,0,0,0,,141.21199808219862
Apple,Ultrabook,16,Mac,1.83,Intel Core i7,AMD,0,1,,256,220.53462386625827
Dell,Notebook,4,Windows,2.2,Intel Core i3,AMD,0,0,,256,141.21199808219862
Apple,Ultrabook,8,Mac,0.92,Other Intel Processor,Intel,0,1,,256,226.41554716935852
Apple,Ultrabook,8,Mac,1.37,Intel Core i5,Intel,0,1,,256,226.98300468106115
Dell,Notebook,8,Windows,2.2,Intel Core i7,AMD,0,0,,256,141.21199808219862
Apple,Ultrabook,16,Mac,1.83,Intel Core i7,AMD,0,1,,512,220.53462386625827
Lenovo,Notebook,8,Other,2.2,Intel Core i3,Nvidia,0,0,,,141.21199808219862
Dell,Ultrabook,8,Windows,1.22,Intel Core i5,Intel,1,1,,128,165.6321180513006
Asus,Netbook,2,Windows,0.98,Other Intel Processor,Intel,0,0,,,135.0942111925629
Lenovo,Gaming,8,Windows,2.5,Intel Core i5,Nvidia,0,1,,128,141.21199808219862
HP,Notebook,4,Other,1.86,AMD,AMD,0,0,0,,100.45466986113651
Dell,2 in 1 Convertible,8,Windows,1.62,Intel Core i5,Intel,1,0,,256,165.6321180513006
HP,Ultrabook,8,Windows,1.91,Intel Core i7,Intel,0,0,,256,141.21199808219862
Dell,Notebook,4,Windows,2.3,Intel Core i3,Intel,0,0,,,100.45466986113651
Apple,Ultrabook,8,Mac,1.35,Intel Core i5,Intel,0,0,,,127.67794013309688
Dell,Notebook,8,Windows,2.2,Intel Core i5,AMD,0,0,,256,141.21199808219862
Dell,Ultrabook,8,Windows,1.88,Intel Core i7,Intel,0,0,,256256,141.21199808219862
HP,Notebook,8,Windows,2.5,Intel Core i5,Nvidia,0,0,,,127.33567457123111
Chuwi,Notebook,4,Windows,1.89,Other Intel Processor,Intel,0,0,,,141.21199808219862
Asus,Notebook,2,Windows,1.65,AMD,AMD,0,0,,,111.93520355955211
HP,Notebook,4,Windows,2.71,AMD,AMD,0,0,0,,127.33567457123111
Dell,Ultrabook,16,Windows,1.2,Intel Core i7,Intel,1,0,,512,276.053530085501
Apple,Ultrabook,8,Mac,1.35,Intel Core i5,Intel,0,0,,,127.67794013309688
Lenovo,Notebook,4,Windows,1.44,Other Intel Processor,Intel,0,0,,,111.93520355955211
Acer,Notebook,4,Other,2.1,Intel Core i3,Intel,0,0,,,100.45466986113651
