Company,TypeName,Ram,Weight,Price,Touchscreen,IPS,PPI,Processor,HDD,SSD,Hybrid,Flash_Storage,Gpu Name,OS
Apple,Ultrabook,8,1.37,250539.178032,0,1,226.98300468106115,Intel Core i5,0,128,0,0,Intel,Mac
Apple,Ultrabook,8,1.34,168113.286432,0,0,127.67794013309688,Intel Core i5,0,0,0,128,Intel,Mac
HP,Notebook,8,1.86,107532.36,0,0,141.21199808219862,Intel Core i5,0,256,0,0,Intel,Others/No OS/Linux
Apple,Ultrabook,16,1.83,474535.6293599999,0,1,220.53462386625827,Intel Core i7,0,512,0,0,AMD,Mac
Apple,Ultrabook,8,1.37,337296.28608,0,1,226.98300468106115,Intel Core i5,0,256,0,0,Intel,Mac
Acer,Notebook,4,2.1,74805.12,0,0,100.45466986113651,AMD Processor,500,0,0,0,AMD,Windows
Apple,Ultrabook,16,2.04,400201.78161599993,0,1,220.53462386625827,Intel Core i7,0,0,0,256,Intel,Mac
Apple,Ultrabook,8,1.34,216691.73135999998,0,0,127.67794013309688,Intel Core i5,0,0,0,256,Intel,Mac
Asus,Ultrabook,16,1.3,279584.13599999994,0,0,157.3505121487356,Intel Core i7,0,512,0,0,Nvidia,Windows
Acer,Ultrabook,8,1.6,143999.856,0,1,157.3505121487356,Intel Core i5,0,256,0,0,Intel,Windows
HP,Notebook,4,1.86,73664.34191999999,0,0,100.45466986113651,Intel Core i5,500,0,0,0,Intel,Others/No OS/Linux
HP,Notebook,4,1.86,64517.545872,0,0,141.21199808219862,Intel Core i3,500,0,0,0,Intel,Others/No OS/Linux
Apple,Ultrabook,16,1.83,456305.62161599996,0,1,220.53462386625827,Intel Core i7,0,256,0,0,AMD,Mac
Dell,Notebook,4,2.2,93300.68591999999,0,0,141.21199808219862,Intel Core i3,0,256,0,0,AMD,Windows
Apple,Ultrabook,8,0.92,236084.95872,0,1,226.41554716935852,Other Intel Processor,0,256,0,0,Intel,Mac
Apple,Ultrabook,8,1.37,283988.28744,0,1,226.98300468106115,Intel Core i5,0,256,0,0,Intel,Mac
Dell,Notebook,8,2.2,139324.536,0,0,141.21199808219862,Intel Core i7,0,256,0,0,AMD,Windows
Apple,Ultrabook,16,1.83,534482.5824,0,1,220.53462386625827,Intel Core i7,0,512,0,0,AMD,Mac
Lenovo,Notebook,8,2.2,93319.3872,0,0,141.21199808219862,Intel Core i3,1024,0,0,0,Nvidia,Others/No OS/Linux
Dell,Ultrabook,8,1.22,183085.5312,1,1,165.6321180513006,Intel Core i5,0,128,0,0,Intel,Windows
Asus,Netbook,2,0.98,35887.75632,0,0,135.0942111925629,Other Intel Processor,0,0,0,32,Intel,Windows
Lenovo,Gaming,8,2.5,186825.7872,0,1,141.21199808219862,Intel Core i5,1024,128,0,0,Nvidia,Windows
HP,Notebook,4,1.86,48249.30239999999,0,0,100.45466986113651,AMD Processor,500,0,0,0,AMD,Others/No OS/Linux
Dell,2 in 1 Convertible,8,1.62,153163.4832,1,0,165.6321180513006,Intel Core i5,0,256,0,0,Intel,Windows
HP,Ultrabook,8,1.91,123241.43519999998,0,0,141.21199808219862,Intel Core i7,0,256,0,0,Intel,Windows
Dell,Notebook,4,2.3,78291.038592,0,0,100.45466986113651,Intel Core i3,1024,0,0,0,Intel,Windows
Apple,Ultrabook,8,1.35,205527.0672,0,0,127.67794013309688,Intel Core i5,0,0,0,128,Intel,Mac
Dell,Notebook,8,2.2,149610.24,0,0,141.21199808219862,Intel Core i5,0,256,0,0,AMD,Windows
Dell,Ultrabook,8,1.88,242742.6144,0,0,141.21199808219862,Intel Core i7,0,512,0,0,Intel,Windows
HP,Notebook,8,2.5,167563.46879999997,0,0,127.33567457123111,Intel Core i5,1024,0,0,0,Nvidia,Windows
Chuwi,Notebook,4,1.89,45816.265871999996,0,0,141.21199808219862,Other Intel Processor,0,0,0,64,Intel,Windows
Asus,Notebook,2,1.65,37215.54719999999,0,0,111.93520355955211,AMD Processor,0,0,0,32,AMD,Windows
HP,Notebook,4,2.71,82098.61919999999,0,0,127.33567457123111,AMD Processor,500,0,0,0,AMD,Windows
Dell,Ultrabook,16,1.2,349526.9232,1,0,276.053530085501,Intel Core i7,0,512,0,0,Intel,Windows
Apple,Ultrabook,8,1.35,186638.7744,0,0,127.67794013309688,Intel Core i5,0,0,0,256,Intel,Mac
Lenovo,Notebook,4,1.44,46566.18719999999,0,0,111.93520355955211,Other Intel Processor,0,0,0,64,Intel,Windows
Acer,Notebook,4,2.1,68633.69759999998,0,0,100.45466986113651,Intel Core i3,1024,0,0,0,Intel,Others/No OS/Linux
Dell,Notebook,8,2.8,183085.5312,0,1,127.33567457123111,Intel Core i5,1024,128,0,0,AMD,Windows
HP,Notebook,4,1.86,91391.285232,0,0,100.45466986113651,Intel Core i5,1024,0,0,0,Intel,Windows
HP,Notebook,8,2.1,164384.2512,0,0,141.21199808219862,Intel Core i5,0,256,0,0,Nvidia,Windows
Asus,Notebook,4,2.0,72747.97919999999,0,0,141.21199808219862,Intel Core i3,1024,0,0,0,Intel,Others/No OS/Linux
Dell,Gaming,16,2.65,280332.1872,0,1,141.21199808219862,Intel Core i7,1024,256,0,0,Nvidia,Windows
Asus,Notebook,8,2.3,97805.824272,0,0,100.45466986113651,Intel Core i5,1024,0,0,0,Nvidia,Others/No OS/Linux
Acer,Notebook,4,2.2,127542.72959999999,0,1,141.21199808219862,Intel Core i5,0,256,0,0,Intel,Windows
Dell,2 in 1 Convertible,12,2.77,186825.7872,1,0,127.33567457123111,Intel Core i5,1024,0,0,0,Nvidia,Windows
Apple,Ultrabook,8,1.37,265371.16319999995,0,1,226.98300468106115,Intel Core i5,0,256,0,0,Intel,Mac
Lenovo,Notebook,4,2.2,69007.7232,0,0,100.45466986113651,Intel Core i3,0,128,0,0,Intel,Others/No OS/Linux
Asus,Gaming,8,3.2,242929.6272,0,0,127.33567457123111,AMD Processor,1024,256,0,0,AMD,Windows
Dell,Notebook,4,2.3,119501.17919999998,0,0,141.21199808219862,Intel Core i5,0,256,0,0,AMD,Windows
Asus,Notebook,4,2.8,87147.96479999999,0,0,90.58340172449303,Other Intel Processor,1024,0,0,0,Nvidia,Windows
