Company,TypeName,Inches,Ram,OpSys,Weight,Price,TouchScreen,IPS,HD_4K,CPU_Brand,GPU_Brand,Memory_Type,CPU_Frequency,Length,Width,PPI
Apple,Ultrabook,13.3,8,macOS,0.8628899551470398,11.175768558816314,0,1,0,Intel,Intel,SSD,2.3,2560.0,1600.0,5.429271085303593
Apple,Ultrabook,13.3,8,macOS,0.8501509293696101,10.776798196213472,0,0,0,Intel,Intel,Flash Storage,1.8,1440.0,900.0,4.857312694573265
HP,Notebook,15.6,8,No OS,1.0508216248317612,10.329963707833757,0,0,1,Intel,Intel,SSD,2.5,1920.0,1080.0,4.9573188885088015
Apple,Ultrabook,15.4,16,macOS,1.0402767116551463,11.814483341632057,0,1,0,Intel,AMD,SSD,2.7,2880.0,1800.0,5.400578892692495
Apple,Ultrabook,13.3,8,macOS,0.8628899551470398,11.473111379006117,0,1,0,Intel,Intel,SSD,3.1,2560.0,1600.0,5.429271085303593
Acer,Notebook,15.6,4,Windows 10,1.1314021114911006,9.967072494161238,0,0,0,AMD,AMD,HDD,3.0,1366.0,768.0,4.6196120963719745
Apple,Ultrabook,15.4,16,Mac OS X,1.1118575154181303,11.644116885995366,0,1,0,Intel,Intel,Flash Storage,2.2,2880.0,1800.0,5.400578892692495
Apple,Ultrabook,13.3,8,macOS,0.8501509293696101,11.03063119023011,0,0,0,Intel,Intel,Flash Storage,1.8,1440.0,900.0,4.857312694573265
Asus,Ultrabook,14.0,16,Windows 10,0.832909122935104,11.285455066338496,0,0,1,Intel,Nvidia,SSD,1.8,1920.0,1080.0,5.064811007262561
Acer,Ultrabook,14.0,8,Windows 10,0.9555114450274363,10.621975915807171,0,1,1,Intel,Intel,SSD,1.6,1920.0,1080.0,5.064811007262561
HP,Notebook,15.6,4,No OS,1.0508216248317612,9.951705743636337,0,0,0,Intel,Intel,HDD,2.5,1366.0,768.0,4.6196120963719745
HP,Notebook,15.6,4,No OS,1.0508216248317612,9.819130859661563,0,0,1,Intel,Intel,HDD,2.0,1920.0,1080.0,4.9573188885088015
Apple,Ultrabook,15.4,16,macOS,1.0402767116551463,11.775309741545168,0,1,0,Intel,AMD,SSD,2.8,2880.0,1800.0,5.400578892692495
Dell,Notebook,15.6,4,Windows 10,1.1631508098056809,10.188004320693702,0,0,1,Intel,AMD,SSD,2.0,1920.0,1080.0,4.9573188885088015
Apple,Ultrabook,12.0,8,macOS,0.6523251860396903,11.11634584374235,0,1,0,Intel,Intel,SSD,1.2,2304.0,1440.0,5.426778948237757
