Company,TypeName,Inches,Ram,OpSys,Weight,TouchScreen,IPS,HD_4K,CPU_Brand,GPU_Brand,Memory_Type,CPU_Frequency,Length,Width,PPI
HP,Notebook,15.6,4,No OS,1.0508216248317612,0,0,0,Intel,Intel,HDD,2.5,1366.0,768.0,4.619612096371975
Asus,Notebook,15.6,4,Windows 10,1.0986122886681098,0,0,1,Intel,Intel,HDD,1.1,1920.0,1080.0,4.9573188885088015
HP,Notebook,15.6,6,Windows 10,1.1600209167967532,0,0,0,Intel,AMD,HDD,2.5,1366.0,768.0,4.619612096371975
Dell,Gaming,15.6,16,Windows 10,1.3137236682850553,1,1,1,Intel,Nvidia,Hybrid,2.6,3840.0,2160.0,5.646943996094081
Razer,Ultrabook,12.5,16,Windows 10,0.8285518175661483,1,1,1,Intel,Intel,SSD,2.5,3840.0,2160.0,5.867784887019588
Dell,Notebook,14.0,8,Windows 10,0.9707789171582248,0,0,1,Intel,Intel,SSD,2.6,1920.0,1080.0,5.064811007262561
Google,Ultrabook,12.3,8,Chrome OS,0.7419373447293773,1,0,0,Intel,Intel,SSD,1.2,2400.0,1600.0,5.461742335596244
LG,Ultrabook,15.6,8,Windows 10,0.7371640659767197,0,1,1,Intel,Intel,SSD,1.8,1920.0,1080.0,4.9573188885088015
Dell,2 in 1 Convertible,13.3,8,Windows 10,0.9631743177730056,1,0,1,Intel,Intel,SSD,1.8,1920.0,1080.0,5.115788496573994
MSI,Gaming,17.3,16,Windows 10,1.3609765531356006,0,0,1,Intel,Nvidia,Hybrid,2.8,1920.0,1080.0,4.854649288865456
Asus,Gaming,17.3,64,Windows 10,1.5216989981260935,0,1,1,Intel,Nvidia,SSD,2.7,1920.0,1080.0,4.854649288865456
HP,Notebook,14.0,8,Windows 10,0.9669838461896731,0,0,1,Intel,Intel,SSD,1.8,1920.0,1080.0,5.064811007262561
Acer,Notebook,13.3,4,Windows 10,0.9555114450274363,0,0,0,Intel,Intel,SSD,2.3,1366.0,768.0,4.777664699022989
Dell,Ultrabook,12.5,8,Windows 7,0.9162907318741552,0,0,0,Intel,Intel,SSD,2.3,1366.0,768.0,4.839193758526338
Dell,Gaming,17.3,16,Windows 10,1.6900958154515549,0,1,1,Intel,Nvidia,Hybrid,2.8,1920.0,1080.0,4.854649288865456
Dell,Notebook,15.6,4,Windows 7,1.175573329804238,0,0,0,Intel,AMD,HDD,2.3,1366.0,768.0,4.619612096371975
Apple,Ultrabook,12.0,8,Mac OS X,0.6523251860396903,0,1,0,Intel,Intel,Flash Storage,1.2,2304.0,1440.0,5.426778948237757
Dell,2 in 1 Convertible,15.6,8,Windows 10,0.9400072584914712,1,0,1,Intel,Intel,SSD,1.8,1920.0,1080.0,4.9573188885088015
Asus,Gaming,15.6,8,Windows 10,1.1939224684724346,0,1,1,Intel,Nvidia,Hybrid,2.8,1920.0,1080.0,4.9573188885088015
Lenovo,2 in 1 Convertible,13.3,16,Windows 10,0.832909122935104,1,1,1,Intel,Intel,SSD,2.5,3200.0,1800.0,5.624210736923218
Asus,Notebook,14.0,8,Windows 10,1.0986122886681098,0,0,1,Intel,Intel,SSD,2.7,1920.0,1080.0,5.064811007262561
Asus,Notebook,14.0,8,Windows 10,1.0986122886681098,0,0,1,Intel,Intel,SSD,2.5,1920.0,1080.0,5.064811007262561
Asus,Notebook,15.6,8,Windows 10,1.1939224684724346,0,0,1,Intel,Intel,HDD,2.5,1920.0,1080.0,4.9573188885088015
Dell,Notebook,15.6,8,Windows 10,1.1568811967920856,0,0,1,Intel,AMD,SSD,2.5,1920.0,1080.0,4.9573188885088015
Lenovo,Notebook,13.3,4,Windows 10,0.8919980393051105,0,1,1,Intel,Intel,SSD,2.4,1920.0,1080.0,5.115788496573994
Dell,Notebook,15.6,8,Linux,1.1631508098056809,0,0,1,Intel,AMD,HDD,2.7,1920.0,1080.0,4.9573188885088015
Lenovo,Notebook,15.6,12,Windows 10,1.1631508098056809,1,0,0,Intel,Intel,HDD,1.8,1366.0,768.0,4.619612096371975
Lenovo,Gaming,17.3,16,Windows 10,1.7227665977411035,0,1,1,Intel,Nvidia,SSD,2.7,1920.0,1080.0,4.854649288865456
Acer,Netbook,11.6,4,Windows 10,0.8754687373538999,0,0,0,Intel,Intel,SSD,1.6,1366.0,768.0,4.913347375266901
Asus,Gaming,17.3,8,Windows 10,1.4350845252893227,0,0,1,AMD,AMD,Hybrid,3.2,1920.0,1080.0,4.854649288865456
Lenovo,2 in 1 Convertible,14.0,4,Windows 10,1.007957920399979,1,1,1,Intel,Intel,SSD,2.4,1920.0,1080.0,5.064811007262561
Lenovo,Ultrabook,12.5,8,Windows 10,0.8586616190375187,0,1,1,Intel,Intel,SSD,2.5,1920.0,1080.0,5.177462845242346
Dell,Notebook,15.6,16,Windows 10,1.199964782928397,0,0,1,Intel,AMD,HDD,2.7,1920.0,1080.0,4.9573188885088015
HP,2 in 1 Convertible,13.3,16,Windows 10,0.8285518175661483,1,1,1,Intel,Intel,SSD,1.8,3840.0,2160.0,5.805930544237805
HP,Notebook,15.6,4,Windows 10,1.0508216248317612,0,0,1,Intel,Intel,HDD,2.0,1920.0,1080.0,4.9573188885088015
Lenovo,Notebook,17.3,4,Windows 10,1.33500106673234,0,0,0,AMD,AMD,HDD,2.2,1600.0,900.0,4.673884932133573
Asus,Gaming,15.6,16,Windows 10,1.1314021114911006,0,0,1,Intel,Nvidia,Hybrid,2.8,1920.0,1080.0,4.9573188885088015
HP,Notebook,14.0,8,Windows 7,0.8878912573524571,0,0,1,Intel,Intel,SSD,2.3,1920.0,1080.0,5.064811007262561
Lenovo,Notebook,15.6,8,Windows 10,1.3001916620664788,0,0,1,Intel,Nvidia,SSD,2.9,1920.0,1080.0,4.9573188885088015
HP,Ultrabook,13.3,8,Windows 10,0.7466879474879752,1,1,1,Intel,Intel,SSD,2.7,1920.0,1080.0,5.115788496573994
MSI,Gaming,15.6,16,Windows 10,1.33500106673234,0,1,1,Intel,Nvidia,Hybrid,2.8,1920.0,1080.0,4.9573188885088015
HP,Notebook,15.6,8,Windows 10,1.068153081183401,0,0,0,Intel,Intel,SSD,2.5,1366.0,768.0,4.619612096371975
Asus,Gaming,17.3,16,Windows 10,1.667706820558076,0,1,1,Intel,Nvidia,Hybrid,2.6,1920.0,1080.0,4.854649288865456
HP,Notebook,15.6,4,Windows 7,1.1969481893889715,0,0,1,Intel,Intel,HDD,2.3,1920.0,1080.0,4.9573188885088015
Dell,2 in 1 Convertible,13.3,8,Windows 10,0.9360933591703348,1,0,1,Intel,Intel,HDD,1.6,1920.0,1080.0,5.115788496573994
Dell,Notebook,15.6,4,Linux,1.075002423028976,0,0,0,Intel,Intel,HDD,2.6,1366.0,768.0,4.619612096371975
Acer,Notebook,14.0,4,Windows 10,0.9555114450274363,0,0,1,Intel,Intel,Flash Storage,1.1,1920.0,1080.0,5.064811007262561
Dell,Gaming,17.3,32,Windows 10,1.6900958154515549,0,1,1,Intel,Nvidia,Hybrid,2.8,1920.0,1080.0,4.854649288865456
Lenovo,Notebook,15.6,8,Windows 10,1.0647107369924282,0,0,1,Intel,AMD,Hybrid,2.5,1920.0,1080.0,4.9573188885088015
HP,Notebook,14.0,8,Windows 10,0.9707789171582248,0,0,1,Intel,Nvidia,SSD,2.7,1920.0,1080.0,5.064811007262561
HP,Notebook,15.6,16,Windows 10,1.1314021114911006,0,0,1,Intel,Intel,SSD,1.8,1920.0,1080.0,4.9573188885088015
MSI,Gaming,14.0,16,Windows 10,0.9932517730102832,0,0,1,Intel,Nvidia,Hybrid,2.6,1920.0,1080.0,5.064811007262561
Lenovo,Notebook,15.6,8,Windows 10,1.1151415906193205,0,0,1,Intel,Intel,SSD,1.6,1920.0,1080.0,4.9573188885088015
Dell,Notebook,17.3,8,Linux,1.3428648031925547,0,0,1,Intel,AMD,HDD,2.7,1920.0,1080.0,4.854649288865456
MSI,Gaming,17.3,8,Windows 10,1.308332819650179,0,0,1,Intel,Nvidia,Hybrid,2.8,1920.0,1080.0,4.854649288865456
HP,Ultrabook,12.5,4,Windows 10,0.8153648132841945,0,0,1,Intel,Intel,HDD,2.5,1920.0,1080.0,5.177462845242346
LG,Ultrabook,15.6,16,Windows 10,0.7323678937132266,1,1,1,Intel,Intel,SSD,2.7,1920.0,1080.0,4.9573188885088015
Asus,Gaming,15.6,16,Windows 10,1.1631508098056809,0,1,1,Intel,Nvidia,Hybrid,2.8,1920.0,1080.0,4.9573188885088015
Lenovo,Workstation,15.6,16,Windows 7,1.1568811967920856,0,0,1,Intel,Nvidia,SSD,2.5,1920.0,1080.0,4.9573188885088015
Asus,Gaming,15.6,16,Windows 10,1.1631508098056809,0,0,1,Intel,Nvidia,Hybrid,2.8,1920.0,1080.0,4.9573188885088015
Asus,Gaming,17.3,16,Windows 10,1.667706820558076,0,1,1,Intel,Nvidia,Hybrid,2.6,1920.0,1080.0,4.854649288865456
Dell,Notebook,15.6,4,Windows 10,1.1939224684724346,0,0,1,Intel,AMD,HDD,2.5,1920.0,1080.0,4.9573188885088015
Lenovo,Ultrabook,14.0,8,Windows 10,0.7747271675523681,0,1,1,Intel,Intel,SSD,2.5,2560.0,1440.0,5.350913056059403
Toshiba,Notebook,14.0,4,Windows 10,0.904218150639886,0,1,1,Intel,Intel,SSD,2.3,1920.0,1080.0,5.064811007262561
Acer,Notebook,15.6,2,Chrome OS,1.1600209167967532,0,0,0,Intel,Intel,SSD,1.5,1366.0,768.0,4.619612096371975
Acer,Notebook,15.6,12,Windows 10,1.1474024528375415,1,1,1,Intel,Intel,HDD,2.7,1920.0,1080.0,4.9573188885088015
HP,Ultrabook,15.6,8,Windows 7,1.0577902941478543,0,0,1,Intel,Intel,SSD,2.5,1920.0,1080.0,4.9573188885088015
Apple,Ultrabook,11.6,4,Mac OS X,0.7323678937132266,0,0,0,Intel,Intel,Flash Storage,1.6,1366.0,768.0,4.913347375266901
Lenovo,Notebook,15.6,4,Windows 10,1.1631508098056809,0,0,1,Intel,Nvidia,HDD,2.7,1920.0,1080.0,4.9573188885088015
Asus,2 in 1 Convertible,13.3,8,Windows 10,0.7419373447293773,1,0,1,Intel,Intel,SSD,1.8,1920.0,1080.0,5.115788496573994
Asus,Ultrabook,15.6,8,Windows 10,0.9932517730102832,0,0,1,Intel,Nvidia,SSD,2.7,1920.0,1080.0,4.9573188885088015
Asus,Ultrabook,14.0,16,Windows 10,0.7419373447293773,0,0,1,Intel,Intel,SSD,2.7,1920.0,1080.0,5.064811007262561
Asus,Notebook,15.6,4,Linux,1.0986122886681098,0,0,1,Intel,Intel,SSD,2.0,1920.0,1080.0,4.9573188885088015
Lenovo,Notebook,15.6,8,Windows 10,1.1939224684724346,0,1,1,Intel,Nvidia,SSD,2.5,1920.0,1080.0,4.9573188885088015
Lenovo,Netbook,12.5,16,Windows 10,0.832909122935104,1,1,1,Intel,Intel,SSD,2.5,1920.0,1080.0,5.177462845242346
HP,Gaming,17.3,12,Windows 10,1.2864740258376797,0,0,1,Intel,Nvidia,HDD,2.8,1920.0,1080.0,4.854649288865456
MSI,Gaming,15.6,8,Windows 10,1.2237754316221157,0,0,1,Intel,Nvidia,SSD,2.5,1920.0,1080.0,4.9573188885088015
Dell,Notebook,15.6,16,Windows 10,1.1939224684724346,0,0,1,Intel,AMD,SSD,2.7,1920.0,1080.0,4.9573188885088015
Lenovo,Workstation,15.6,8,Windows 10,1.3001916620664788,0,0,1,Intel,Nvidia,SSD,2.8,1920.0,1080.0,4.9573188885088015
Lenovo,Notebook,15.6,4,Windows 10,1.0473189942805592,0,0,1,Intel,Intel,HDD,2.0,1920.0,1080.0,4.9573188885088015
Lenovo,Ultrabook,14.0,24,Windows 10,0.8415671856782186,0,0,0,Intel,Intel,SSD,2.7,2560.0,1440.0,5.350913056059403
Dell,Notebook,15.6,4,Linux,1.1939224684724346,0,0,1,Intel,AMD,SSD,2.5,1920.0,1080.0,4.9573188885088015
HP,Notebook,15.6,4,Windows 10,1.0508216248317612,0,0,1,Intel,Intel,HDD,2.0,1920.0,1080.0,4.9573188885088015
Dell,Gaming,17.3,32,Windows 10,1.6900958154515549,0,1,1,Intel,Nvidia,Hybrid,2.8,1920.0,1080.0,4.854649288865456
Acer,2 in 1 Convertible,13.3,8,Windows 10,0.9555114450274363,1,1,1,Intel,Intel,SSD,2.5,1920.0,1080.0,5.115788496573994
Lenovo,Gaming,15.6,8,Windows 10,1.2237754316221157,0,1,1,Intel,Nvidia,HDD,2.5,1920.0,1080.0,4.9573188885088015
MSI,Gaming,15.6,8,Windows 10,1.1631508098056809,0,0,1,Intel,Nvidia,Hybrid,2.8,1920.0,1080.0,4.9573188885088015
Asus,Notebook,15.6,4,Windows 10,1.1631508098056809,0,0,0,Intel,Intel,HDD,1.6,1366.0,768.0,4.619612096371975
Asus,Notebook,15.6,8,Windows 10,1.2149127443642704,0,0,1,Intel,Intel,HDD,2.5,1920.0,1080.0,4.9573188885088015
HP,Ultrabook,12.5,8,Windows 10,0.8153648132841945,0,0,1,Intel,Intel,SSD,2.7,1920.0,1080.0,5.177462845242346
Dell,Gaming,17.3,16,Windows 10,1.6789639750827108,0,1,1,Intel,Nvidia,Hybrid,2.8,1920.0,1080.0,4.854649288865456
Vero,Notebook,13.3,4,Windows 10,0.8544153281560676,0,0,1,Intel,Intel,Flash Storage,1.44,1920.0,1080.0,5.115788496573994
Dell,Notebook,14.0,8,Windows 10,0.9555114450274363,0,0,1,Intel,Intel,SSD,2.5,1920.0,1080.0,5.064811007262561
Lenovo,Notebook,15.6,4,Windows 10,1.1631508098056809,0,0,1,AMD,AMD,SSD,2.5,1920.0,1080.0,4.9573188885088015
HP,Notebook,17.3,8,Windows 10,1.252762968495368,0,0,1,Intel,Intel,SSD,1.6,1920.0,1080.0,4.854649288865456
Dell,2 in 1 Convertible,13.3,4,Windows 10,0.9969486348916096,1,0,1,Intel,Intel,HDD,2.4,1920.0,1080.0,5.115788496573994
Lenovo,2 in 1 Convertible,13.9,8,Windows 10,0.8671004876833833,1,1,1,Intel,Intel,SSD,2.7,1920.0,1080.0,5.071934387835933
HP,Notebook,17.3,6,Windows 10,1.3110318766193438,0,1,1,Intel,AMD,HDD,2.5,1920.0,1080.0,4.854649288865456
HP,Notebook,17.3,8,Windows 10,1.2947271675944,0,0,0,Intel,Intel,HDD,2.0,1600.0,900.0,4.673884932133573
Dell,Notebook,17.3,8,Windows 10,1.33500106673234,0,0,1,Intel,AMD,Hybrid,1.8,1920.0,1080.0,4.854649288865456
Mediacom,Notebook,14.0,2,Windows 10,0.8754687373538999,0,0,1,Intel,Intel,Flash Storage,1.44,1920.0,1080.0,5.064811007262561
MSI,Gaming,17.3,16,Windows 10,1.308332819650179,0,0,1,Intel,Nvidia,Hybrid,2.8,1920.0,1080.0,4.854649288865456
HP,Notebook,13.3,8,Windows 10,0.9122827104766162,0,0,1,Intel,Intel,SSD,2.7,1920.0,1080.0,5.115788496573994
Lenovo,Gaming,15.6,4,Windows 10,1.2237754316221157,0,1,1,Intel,Nvidia,HDD,2.8,1920.0,1080.0,4.9573188885088015
Asus,Notebook,14.0,8,Windows 10,1.0986122886681098,0,0,1,Intel,Intel,Hybrid,2.7,1920.0,1080.0,5.064811007262561
Dell,Notebook,15.6,8,Windows 10,1.1052568313867783,0,0,1,Intel,AMD,Hybrid,1.8,1920.0,1080.0,4.9573188885088015
Lenovo,Notebook,15.6,4,No OS,1.1631508098056809,0,0,1,Intel,Nvidia,HDD,2.5,1920.0,1080.0,4.9573188885088015
HP,Notebook,17.3,8,Windows 10,1.264126727145683,0,0,0,Intel,Intel,HDD,2.0,1600.0,900.0,4.673884932133573
Dell,Ultrabook,13.3,4,Windows 10,0.8754687373538999,0,1,1,Intel,AMD,SSD,1.6,1920.0,1080.0,5.115788496573994
Samsung,Netbook,11.6,4,Chrome OS,0.7654678421395714,0,0,0,Intel,Intel,Flash Storage,1.6,1366.0,768.0,4.913347375266901
Lenovo,Notebook,14.0,8,Windows 10,1.01160091167848,0,1,1,Intel,AMD,SSD,1.6,1920.0,1080.0,5.064811007262561
Acer,Notebook,15.6,4,Windows 10,1.172482137234565,0,0,1,Intel,Nvidia,SSD,2.5,1920.0,1080.0,4.9573188885088015
Lenovo,Notebook,17.3,4,No OS,1.33500106673234,0,0,1,Intel,Intel,HDD,2.0,1920.0,1080.0,4.854649288865456
MSI,Gaming,15.6,16,Windows 10,1.0296194171811583,0,0,1,Intel,Nvidia,Hybrid,2.8,3840.0,2160.0,5.646943996094081
HP,Notebook,13.3,4,Windows 10,0.8415671856782186,0,1,1,Intel,Intel,SSD,2.5,1920.0,1080.0,5.115788496573994
Asus,Gaming,15.6,8,Windows 10,1.2784307152439458,0,1,1,Intel,Nvidia,Hybrid,2.6,1920.0,1080.0,4.9573188885088015
HP,Netbook,12.5,8,Windows 10,0.6780335427498971,0,0,1,Intel,Intel,SSD,1.2,1920.0,1080.0,5.177462845242346
Dell,Gaming,17.3,16,Windows 10,1.6900958154515549,0,1,1,Intel,Nvidia,Hybrid,2.8,1920.0,1080.0,4.854649288865456
HP,2 in 1 Convertible,13.3,8,Windows 10,0.8241754429663494,1,0,1,Intel,Intel,SSD,2.8,1920.0,1080.0,5.115788496573994
Toshiba,Notebook,15.6,8,Windows 10,1.1631508098056809,0,0,0,Intel,Nvidia,HDD,2.5,1366.0,768.0,4.619612096371975
HP,Notebook,15.6,8,Windows 10,1.1314021114911006,0,1,1,Intel,Intel,HDD,1.8,1366.0,768.0,4.619612096371975
Dell,Notebook,15.6,8,Linux,1.2029723039923526,0,0,1,Intel,AMD,SSD,2.7,1920.0,1080.0,4.9573188885088015
Lenovo,Notebook,14.0,4,Windows 10,0.8919980393051105,0,0,0,Intel,Intel,Flash Storage,1.1,1366.0,768.0,4.726814234417343
HP,Notebook,17.3,8,Windows 10,1.289232648276759,0,0,1,Intel,Nvidia,HDD,2.7,1920.0,1080.0,4.854649288865456
Microsoft,Ultrabook,13.5,8,Windows 10 S,0.8109302162163288,1,0,0,Intel,Intel,SSD,2.5,2256.0,1504.0,5.307487987253548
Lenovo,2 in 1 Convertible,13.3,8,Windows 10,0.832909122935104,1,1,1,Intel,Intel,SSD,2.5,1920.0,1080.0,5.115788496573994
Asus,Notebook,15.6,8,Windows 10,1.0986122886681098,0,0,1,Intel,Intel,Hybrid,2.7,1920.0,1080.0,4.9573188885088015
Toshiba,Notebook,15.6,8,Windows 10,1.0986122886681098,0,1,1,Intel,Intel,SSD,2.5,1920.0,1080.0,4.9573188885088015
Razer,Gaming,14.0,16,Windows 10,1.0818051703517284,0,0,1,Intel,Nvidia,SSD,2.8,1920.0,1080.0,5.064811007262561
Dell,Gaming,17.3,32,Windows 10,1.6789639750827108,0,0,1,Intel,Nvidia,Hybrid,2.8,3840.0,2160.0,5.543892827299865
Lenovo,Notebook,15.6,8,Windows 10,1.252762968495368,0,0,1,Intel,AMD,Other,2.3,1920.0,1080.0,4.9573188885088015
Lenovo,Notebook,15.6,8,Windows 10,1.0818051703517284,0,1,1,Intel,Intel,SSD,2.5,1920.0,1080.0,4.9573188885088015
Asus,Notebook,15.6,4,Linux,1.0986122886681098,0,0,1,Intel,Intel,SSD,2.5,1920.0,1080.0,4.9573188885088015
Dell,Notebook,15.6,8,Windows 10,1.0647107369924282,0,0,0,Intel,Intel,HDD,2.6,1366.0,768.0,4.619612096371975
Asus,Ultrabook,14.0,8,Windows 10,0.7419373447293773,0,0,1,Intel,Intel,SSD,2.5,1920.0,1080.0,5.064811007262561
HP,Notebook,15.6,6,Windows 10,1.068153081183401,0,1,1,AMD,AMD,SSD,2.5,1920.0,1080.0,4.9573188885088015
