Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,Cpu_Speed,SSD,HDD,Touchscreen,IPS,Resolution_X,Resolution_Y,Gpu_Brand
Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8,128GB SSD,Intel Iris Plus Graphics 640,macOS,1.37,249825.3912,2.3,128,0,0,1,2560.0,1600.0,Intel
Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,8,128GB Flash Storage,Intel HD Graphics 6000,macOS,1.34,167634.33120000002,1.8,128,0,0,0,1440.0,900.0,Intel
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,No OS,1.86,107226.0,2.5,256,0,0,0,1920.0,1080.0,Intel
Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.7GHz,16,512GB SSD,AMD Radeon Pro 455,macOS,1.83,473183.6759999999,2.7,512,0,0,1,2880.0,1800.0,AMD
Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 3.1GHz,8,256GB SSD,Intel Iris Plus Graphics 650,macOS,1.37,336335.32800000004,3.1,256,0,0,1,2560.0,1600.0,Intel
Acer,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4,500GB HDD,AMD Radeon R5,Windows 10,2.1,74592.0,3.0,0,500,0,0,1366.0,768.0,AMD
Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.2GHz,16,256GB Flash Storage,Intel Iris Pro Graphics,Mac OS X,2.04,399061.6056,2.2,256,0,0,1,2880.0,1800.0,Intel
Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,8,256GB Flash Storage,Intel HD Graphics 6000,macOS,1.34,216074.376,1.8,256,0,0,0,1440.0,900.0,Intel
Asus,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Nvidia GeForce MX150,Windows 10,1.3,278787.6,1.8,512,0,0,0,1920.0,1080.0,Nvidia
Acer,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.6,143589.6,1.6,256,0,0,1,1920.0,1080.0,Intel
