Company,TypeName,Ram,Weight,Touchscreen,IPS,PPI,Processor,HDD,SSD,Hybrid,Flash_Storage,Gpu Name,OS,Price
HP,Notebook,8,2.63,0,0,106.11306214269258,Intel Core i5,1024,0,0,0,Nvidia,Windows,170181.648
Dell,2 in 1 Convertible,8,1.62,1,1,165.6321180513006,Intel Core i7,1024,0,0,0,Intel,Windows,156903.73919999998
MSI,Gaming,16,1.7,0,0,157.3505121487356,Intel Core i7,1024,256,0,0,Nvidia,Windows,330825.6432
Dell,Ultrabook,8,1.7,0,0,157.3505121487356,Intel Core i5,0,256,0,0,Intel,Windows,164384.2512
Acer,Notebook,4,2.1,0,0,100.45466986113652,Intel Core i5,0,256,0,0,Intel,Windows,112020.6672
Asus,Gaming,16,4.0,0,1,127.33567457123112,Intel Core i7,1024,128,0,0,Nvidia,Windows,355324.32
HP,Notebook,8,2.1,0,1,141.21199808219862,Intel Core i3,1024,0,0,0,Nvidia,Windows,133901.1648
Lenovo,Notebook,8,2.2,0,0,141.21199808219862,Intel Core i5,0,256,0,0,Intel,Others/No OS/Linux,102670.0272
HP,Notebook,4,1.64,0,0,111.93520355955212,Intel Core i5,500,0,0,0,Intel,Windows,145682.9712
HP,Notebook,8,2.1,0,0,141.21199808219862,Intel Core i5,0,256,0,0,Nvidia,Windows,164384.2512
HP,Notebook,4,1.91,0,0,141.21199808219862,Intel Core i3,0,128,0,0,Intel,Windows,82098.61919999999
Asus,Gaming,8,3.0,0,0,127.33567457123112,Intel Core i5,1024,128,0,0,Nvidia,Windows,175418.00639999998
Dell,Gaming,16,2.65,0,1,141.21199808219862,Intel Core i7,1024,128,0,0,Nvidia,Windows,252280.2672
HP,Notebook,6,2.04,0,0,141.21199808219862,AMD Processor,0,0,1024,0,AMD,Windows,102855.16987199998
HP,Notebook,6,2.04,0,0,141.21199808219862,AMD Processor,0,0,1024,0,AMD,Windows,102855.16987199998
Asus,Ultrabook,8,1.7,0,0,141.21199808219862,Intel Core i5,0,256,0,0,Nvidia,Windows,182711.5056
Acer,2 in 1 Convertible,4,1.25,1,1,135.0942111925629,Other Intel Processor,0,0,0,32,Intel,Others/No OS/Linux,70877.85119999999
HP,Notebook,8,2.1,0,1,100.45466986113652,Intel Core i7,1024,0,0,0,Intel,Windows,168685.54559999998
