Price,Company,TypeName,Inches,Ram,OpSys,Weight,Touchscreen,Ips,HD,cpu_name,gpu_name,Memory_Type
250539.178032,Apple,Ultrabook,13.3,8,Other,1.37,0,1,0,Intel Core i5,Other,SSD
168113.286432,Apple,Ultrabook,13.3,8,Other,1.34,0,0,0,Intel Core i5,Intel HD,Flash Storage
107532.36,HP,Notebook,15.6,8,No OS,1.86,0,0,1,Intel Core i5,Intel HD,SSD
474535.6293599999,Apple,Ultrabook,15.4,16,Other,1.83,0,1,0,Intel Core i7,AMD,SSD
337296.28608,Apple,Ultrabook,13.3,8,Other,1.37,0,1,0,Intel Core i5,Other,SSD
74805.12,Acer,Notebook,15.6,4,Windows 10,2.1,0,0,0,AMD,AMD,HDD
400201.78161599993,Apple,Ultrabook,15.4,16,Other,2.04,0,1,0,Intel Core i7,Other,Flash Storage
216691.73135999998,Apple,Ultrabook,13.3,8,Other,1.34,0,0,0,Intel Core i5,Intel HD,Flash Storage
279584.13599999994,Asus,Ultrabook,14.0,16,Windows 10,1.3,0,0,1,Intel Core i7,Nvidia GeForce,SSD
143999.856,Acer,Ultrabook,14.0,8,Windows 10,1.6,0,1,1,Intel Core i5,Intel UHD,SSD
73664.34191999999,HP,Notebook,15.6,4,No OS,1.86,0,0,0,Intel Core i5,Intel HD,HDD
64517.545872,HP,Notebook,15.6,4,No OS,1.86,0,0,1,Intel Core i3,Intel HD,HDD
456305.62161599996,Apple,Ultrabook,15.4,16,Other,1.83,0,1,0,Intel Core i7,AMD,SSD
93300.68591999999,Dell,Notebook,15.6,4,Windows 10,2.2,0,0,1,Intel Core i3,AMD,SSD
236084.95872,Apple,Ultrabook,12.0,8,Other,0.92,0,1,0,Other,Intel HD,SSD
283988.28744,Apple,Ultrabook,13.3,8,Other,1.37,0,1,0,Intel Core i5,Other,SSD
139324.536,Dell,Notebook,15.6,8,Windows 10,2.2,0,0,1,Intel Core i7,AMD,SSD
534482.5824,Apple,Ultrabook,15.4,16,Other,1.83,0,1,0,Intel Core i7,AMD,SSD
93319.3872,Lenovo,Notebook,15.6,8,No OS,2.2,0,0,1,Intel Core i3,Nvidia GeForce,HDD
183085.5312,Dell,Ultrabook,13.3,8,Windows 10,1.22,1,1,1,Intel Core i5,Intel UHD,SSD
35887.75632,Asus,Netbook,11.6,2,Windows 10,0.98,0,0,0,Other,Intel HD,Flash Storage
186825.7872,Lenovo,Gaming,15.6,8,Windows 10,2.5,0,1,1,Intel Core i5,Nvidia GeForce,Hybrid
48249.30239999999,HP,Notebook,15.6,4,No OS,1.86,0,0,0,AMD,AMD,HDD
