Company,TypeName,Ram,OpSys,Weight,CPU,HDD,SSD,GPU,TouchScreen,IPS,PPI
Lenovo,Gaming,8,Windows,2.5,Intel Core i5,1000,128,Nvidia,0,1,141.21199808219862
Asus,Gaming,8,Windows,2.24,Intel Core i7,1000,128,Nvidia,0,0,141.21199808219862
Lenovo,2 in 1 Convertible,16,Windows,1.36,Intel Core i7,,512,Intel,1,0,209.8006828649808
Lenovo,Notebook,8,Windows,1.9,Intel Core i5,,256,Intel,0,1,157.3505121487356
HP,Ultrabook,8,Windows,1.84,Intel Core i7,,256,AMD,0,0,141.21199808219862
Dell,Ultrabook,8,Windows,1.36,Intel Core i7,,512,Intel,0,0,157.3505121487356
HP,Notebook,8,Windows,2.2,Intel Core i5,1000,128,Nvidia,0,1,141.21199808219862
Lenovo,Notebook,8,Windows,1.95,Intel Core i7,,256,Intel,0,1,141.21199808219862
Dell,2 in 1 Convertible,8,Windows,1.24,Intel Core i7,,512,Intel,1,0,276.053530085501
Apple,Ultrabook,8,Mac,1.37,Intel Core i5,,256,Intel,0,1,226.98300468106115
HP,Notebook,6,Windows,2.04,AMD,,,AMD,0,0,141.21199808219862
Lenovo,Notebook,4,Other,1.9,Other Intel Processor,,128,Intel,0,0,100.45466986113651
MSI,Gaming,8,Windows,2.2,Intel Core i5,1000,128,Nvidia,0,0,141.21199808219862
HP,Notebook,8,Windows,2.5,Intel Core i5,,256,Intel,0,0,127.33567457123111
Dell,2 in 1 Convertible,8,Windows,1.56,Intel Core i7,,256,Intel,1,0,141.21199808219862
Asus,Notebook,4,Windows,2.0,Other Intel Processor,1000,,Intel,0,0,100.45466986113651
Acer,Gaming,8,Windows,2.5,Intel Core i5,,256,Nvidia,0,1,141.21199808219862
HP,Notebook,4,Windows,1.88,Intel Core i5,0,,Intel,0,0,100.45466986113651
Lenovo,Notebook,8,Windows,2.2,Intel Core i3,,128,Intel,0,0,100.45466986113651
Dell,2 in 1 Convertible,16,Windows,2.77,Intel Core i7,,512,Nvidia,1,0,127.33567457123111
Lenovo,2 in 1 Convertible,4,Other,0.69,Other Intel Processor,,,Intel,1,1,224.17380907857276
Dell,Notebook,8,Windows,1.9,Intel Core i5,,256,Intel,0,0,141.21199808219862
Asus,Notebook,4,Windows,2.37,Intel Core i3,1000,,Intel,0,0,100.45466986113651
Lenovo,Notebook,4,Other,2.2,Other Intel Processor,1000,,Intel,0,0,100.45466986113651
HP,Notebook,8,Windows,1.63,Intel Core i5,1000,,Intel,0,0,157.3505121487356
Lenovo,Ultrabook,16,Windows,1.13,Intel Core i7,,1000,Intel,0,1,209.8006828649808
HP,Notebook,4,Windows,1.64,Intel Core i3,0,,Intel,0,0,111.93520355955211
Dell,Notebook,8,Windows,2.0,Intel Core i7,1000,128,Nvidia,0,0,141.21199808219862
Dell,Gaming,16,Windows,3.21,Intel Core i5,1000,128,Nvidia,0,0,141.21199808219862
Lenovo,Notebook,4,Windows,1.85,Intel Core i3,1000,,Intel,0,0,141.21199808219862
Dell,Ultrabook,4,Windows,1.4,Intel Core i5,,256,AMD,0,1,165.6321180513006
HP,Notebook,8,Windows,2.31,Intel Core i5,,256,Intel,0,0,111.93520355955211
HP,Notebook,8,Windows,1.84,Intel Core i7,,256,Intel,0,0,141.21199808219862
Acer,Notebook,4,Windows,2.4,AMD,0,,AMD,0,0,100.45466986113651
Asus,2 in 1 Convertible,12,Windows,2.26,Intel Core i7,2000,512,Nvidia,1,0,141.21199808219862
Microsoft,Ultrabook,8,Windows,1.252,Intel Core i5,,256,Intel,1,0,200.84255993695703
Asus,2 in 1 Convertible,8,Windows,1.1,Intel Core i5,,256,Intel,1,0,165.6321180513006
HP,Workstation,16,Windows,3.0,Other Intel Processor,,256,Nvidia,0,1,127.33567457123111
Dell,Notebook,8,Other,1.64,Intel Core i5,,256,Nvidia,0,0,157.3505121487356
Lenovo,Notebook,4,Other,2.2,Intel Core i3,1000,,Intel,0,0,141.21199808219862
Lenovo,Notebook,4,Windows,2.2,Other Intel Processor,0,,Intel,0,0,141.21199808219862
Acer,Notebook,4,Windows,3.3,Intel Core i3,1000,,Nvidia,0,0,106.11306214269258
MSI,Gaming,16,Windows,1.91,Intel Core i7,1000,128,Nvidia,0,0,141.21199808219862
HP,Notebook,4,Windows,1.95,Intel Core i5,0,,Intel,0,0,111.93520355955211
Dell,Notebook,8,Windows,2.8,Intel Core i5,1000,128,AMD,0,1,127.33567457123111
HP,Notebook,4,Windows,1.91,AMD,,256,AMD,0,0,141.21199808219862
HP,Notebook,4,Other,1.86,Intel Core i3,0,,Intel,0,0,100.45466986113651
HP,Notebook,8,Windows,1.94,Other Intel Processor,2000,,Intel,0,0,111.93520355955211
HP,Notebook,8,Windows,2.1,Intel Core i7,1000,,Intel,0,1,100.45466986113651
HP,Notebook,8,Windows,1.63,Intel Core i7,,512,Intel,0,0,157.3505121487356
Acer,Notebook,8,Windows,2.2,Intel Core i7,1000,,Nvidia,0,0,141.21199808219862
Dell,Notebook,4,Windows,2.2,Other Intel Processor,0,,Intel,0,0,100.45466986113651
Acer,Notebook,2,Other,1.68,Other Intel Processor,,,Intel,0,0,111.93520355955211
Acer,Notebook,8,Windows,3.3,Intel Core i3,1000,,Nvidia,0,0,106.11306214269258
Acer,Notebook,4,Other,2.2,Other Intel Processor,,16,Intel,0,0,100.45466986113651
Dell,Gaming,16,Windows,4.42,Intel Core i7,1000,128,Nvidia,0,1,127.33567457123111
HP,2 in 1 Convertible,4,Windows,1.28,Intel Core i5,,256,Intel,1,0,165.6321180513006
Lenovo,Notebook,4,Windows,2.2,Intel Core i5,0,,Intel,0,0,141.21199808219862
Toshiba,Ultrabook,4,Windows,1.25,Intel Core i5,,128,Intel,0,0,111.93520355955211
Asus,Gaming,8,Windows,2.45,AMD,1000,,AMD,0,0,141.21199808219862
Dell,Notebook,8,Windows,2.36,Intel Core i5,,256,AMD,0,0,141.21199808219862
Asus,Gaming,64,Windows,3.58,Intel Core i7,,1000,Nvidia,0,1,127.33567457123111
Lenovo,Netbook,16,Windows,1.3,Intel Core i7,,512,Intel,1,1,176.23257360658386
Dell,Notebook,8,Windows,2.18,Intel Core i5,1000,,Intel,0,0,141.21199808219862
Lenovo,Notebook,8,Other,2.8,Intel Core i7,2000,,Nvidia,0,0,127.33567457123111
Dell,Workstation,16,Windows,2.17,Intel Core i7,,512,Nvidia,0,1,141.21199808219862
HP,Notebook,8,Windows,1.34,Intel Core i5,,256,Intel,0,1,165.6321180513006
Lenovo,Notebook,2,Windows,1.5,Other Intel Processor,,,Intel,0,0,111.93520355955211
Acer,Gaming,8,Other,2.4,Intel Core i5,1000,,Nvidia,0,0,141.21199808219862
Dell,Notebook,8,Windows,2.0,Intel Core i7,,256,Nvidia,0,0,141.21199808219862
Asus,Ultrabook,8,Windows,1.7,Intel Core i7,,256,Nvidia,0,0,141.21199808219862
HP,Notebook,6,Windows,2.1,AMD,1000,128,AMD,0,0,141.21199808219862
MSI,Gaming,16,Windows,2.94,Intel Core i7,1000,256,Nvidia,0,0,141.21199808219862
Dell,Workstation,8,Windows,2.23,Intel Core i5,0,,AMD,0,0,141.21199808219862
Lenovo,Gaming,8,Other,2.4,Intel Core i5,1000,128,Nvidia,0,1,141.21199808219862
